question,category
Why is .parcel-cache folder important?,Parcel
Compare production build size with and without tree-shaking.,Parcel
Odd-one-out: a) Vue plugin b) JSX support c) Manual Webpack config,Parcel
Predict behavior: parcel build index.html --dist-dir build.,Parcel
Why might a dynamic import fail in Parcel?,Parcel
Compare Parcel HMR vs Webpack HMR.,Parcel
Debug: Production JS is not minified.,Parcel
Predict output: parcel build index.html --public-url ./assets/,Parcel
How does Parcel handle TypeScript transpilation?,Parcel
Why might SVG imports fail in Parcel?,Parcel
Odd-one-out: a) Auto CSS injection b) Auto code splitting c) Manual Babel config required,Parcel
Predict behavior: parcel watch src/index.html --open,Parcel
Debug: Parcel doesn’t generate source maps.,Parcel
Compare asset handling for local images vs public folder.,Parcel
Predict output: import.meta.env.MODE in production.,Parcel
Why might dynamic imports increase initial bundle size?,Parcel
Debug: Global SCSS not applied.,Parcel
Compare inlining fonts vs separate files in Parcel.,Parcel
Predict behavior: parcel build --detailed-report.,Parcel
Why is zero-config important for Parcel in interviews?,Parcel
Odd-one-out: a) HMR b) Multi-page apps c) Manual Webpack plugin installation,Parcel
Predict output: parcel build --no-cache.,Parcel
Debug: JSX not transpiling in production.,Parcel
Compare handling of .json vs .js imports.,Parcel
Why might Parcel build size be larger than expected?,Parcel
Odd-one-out: a) Hot reload b) Auto minify c) Manual webpack config,Parcel
Predict output: parcel index.html in dev.,Parcel
Why is --public-url important for production deployment?,Parcel
Debug: Images not loading in production.,Parcel
Compare caching behavior between dev and production.,Parcel
What is Gulp in frontend development?,Gulp
Which command installs Gulp globally?,Gulp
How do you install Gulp in a project locally?,Gulp
What is the default entry point file for Gulp tasks?,Gulp
Which method defines a Gulp task?,Gulp
How do you run a Gulp task named build?,Gulp
True or False: Gulp uses streams to process files.,Gulp
Which module is used to read source files in Gulp?,Gulp
Which module is used to write processed files in Gulp?,Gulp
Explain: Difference between Gulp and Webpack.,Gulp
True or False: Gulp can minify CSS and JS files.,Gulp
How can you watch files for changes in Gulp?,Gulp
Which module is used to pipe files in Gulp?,Gulp
Scenario: You want to compile SCSS to CSS using Gulp. What plugin is used?,Gulp
True or False: Gulp only works with Node.js projects.,Gulp
Which Gulp plugin minifies JavaScript?,Gulp
Fill in the blank: Gulp processes files using ____ pipelines.,Gulp
Scenario: You want to auto-prefix CSS for browsers. Which plugin is used?,Gulp
True or False: Gulp can optimize images.,Gulp
Which Gulp plugin compresses images?,Gulp
How can you delete old files in the build folder?,Gulp
Scenario: You want to concatenate multiple JS files. Which plugin is used?,Gulp
"Fill in the blank: Gulp automates tasks like minification, concatenation, and ____.",Gulp
How do you handle errors in Gulp streams?,Gulp
Which plugin helps with live browser reload?,Gulp
Scenario: You want to transpile ES6 to ES5 using Gulp.,Gulp
True or False: Gulp tasks can be run in series or parallel.,Gulp
Which method runs tasks in series?,Gulp
Which method runs tasks in parallel?,Gulp
How do you rename files in Gulp?,Gulp
True or False: Gulp can compile Pug (Jade) templates.,Gulp
Which plugin compiles Pug templates?,Gulp
Scenario: You want source maps for CSS/JS.,Gulp
Fill in the blank: Gulp plugins are installed via ____.,Gulp
How can you debug Gulp tasks?,Gulp
True or False: Gulp can lint JS files.,Gulp
Which plugin is used to lint JavaScript in Gulp?,Gulp
Scenario: You want to watch multiple folders for changes.,Gulp
True or False: Gulp can handle TypeScript compilation.,Gulp
Which plugin compiles TypeScript in Gulp?,Gulp
Scenario: You want to compress HTML files.,Gulp
True or False: Gulp is synchronous by default.,Gulp
How do you return a stream from a Gulp task?,Gulp
Scenario: You want to cache files for faster builds.,Gulp
Fill in the blank: Gulp streams help in ____ large sets of files efficiently.,Gulp
Which plugin adds revision hashes to filenames for cache busting?,Gulp
Scenario: You want to combine multiple tasks into a default task.,Gulp
Which plugin compiles LESS in Gulp?,Gulp
Scenario: You want to minify CSS after compiling LESS.,Gulp
Which plugin integrates Gulp with BrowserSync?,Gulp
Why does Gulp use streams instead of reading/writing files directly?,Gulp
Predict behavior: Returning a stream without return in a Gulp task.,Gulp
Compare gulp.series() and gulp.parallel() in task execution.,Gulp
Debug: Gulp watch doesn’t trigger on file changes.,Gulp
Why is gulp-plumber used in tasks?,Gulp
Predict output: gulp.src('src/*.js').pipe(gulp-uglify()).,Gulp
Compare Gulp and Webpack for build automation.,Gulp
Debug: BrowserSync doesn’t reload after Gulp tasks.,Gulp
Why use gulp-cache in asset processing?,Gulp
Predict behavior: Using gulp.src('**/*.scss').pipe(gulp-sass()).,Gulp
Compare gulp-uglify vs gulp-terser.,Gulp
Debug: Sourcemaps not generating in CSS.,Gulp
Why is gulp-autoprefixer important?,Gulp
"Predict behavior: gulp.watch('src/js/*.js', gulp.series('scripts')).",Gulp
Compare gulp-concat and manual concatenation.,Gulp
Debug: Minified JS is broken after concatenation.,Gulp
Why might Gulp tasks run slower than expected?,Gulp
Predict output: gulp.src('src/*.js').pipe(gulp-rename({suffix: '.min'})).,Gulp
Compare gulp-sass and node-sass.,Gulp
Debug: gulp-babel task fails on ES6 import.,Gulp
Why is caching important for images in Gulp?,Gulp
Predict behavior: gulp.src('src/*.js').pipe(gulp-eslint()).,Gulp
Compare inline vs external CSS handling in Gulp.,Gulp
Debug: LESS compilation fails with unknown function error.,Gulp
Why use gulp-rev for production?,Gulp
Predict behavior: gulp.src('src/**/*.js').pipe(gulp-uglify()).pipe(gulp.dest('dist')).,Gulp
Compare manual task chaining vs gulp.series().,Gulp
Debug: BrowserSync reload triggered before task completes.,Gulp
Why use gulp-htmlmin?,Gulp
Predict output: gulp.src('src/*.css').pipe(gulp-clean-css()).,Gulp
Compare gulp-watch vs gulp.series() for automation.,Gulp
Debug: Image optimization doesn’t reduce file size.,Gulp
Why integrate Gulp with BrowserSync?,Gulp
Predict behavior: gulp.src('src/js/*.js').pipe(gulp-babel({presets: ['@babel/preset-env']})).,Gulp
Compare gulp-sourcemaps.init() and .write().,Gulp
Debug: Task dependency fails in series execution.,Gulp
Why use gulp-if in tasks?,Gulp
"Predict behavior: gulp.src('src/*.scss').pipe(gulp-sass().on('error', sass.logError)).",Gulp
Compare using streams vs temporary files in Gulp.,Gulp
Debug: Multiple tasks modifying same file conflict.,Gulp
Why use gulp-notify?,Gulp
Predict output: gulp.src('src/**/*').pipe(gulp.dest('dist')).,Gulp
Compare gulp.parallel() with running tasks individually.,Gulp
Debug: Babel doesn’t transpile async/await.,Gulp
Why use gulp-replace?,Gulp
Predict behavior: gulp.src('src/*.js').pipe(gulp-uglify()).pipe(gulp-rev()).,Gulp
Debug: CSS autoprefixer not applying some rules.,Gulp
Why use gulp-plumber instead of letting streams fail?,Gulp
Predict behavior: gulp.src('src/*.js').pipe(gulp-debug({title: 'JS'})).,Gulp
Why is Gulp preferred for task automation over npm scripts alone?,Gulp
Compare the advantages of using Gulp over Grunt.,Gulp
Explain why task sequencing is important in Gulp.,Gulp
Which of the following is NOT a core Gulp concept? a) Streams b) Pipes c) Bundlers,Gulp
Why might you choose gulp.series() instead of gulp.parallel()?,Gulp
Identify the odd-one-out: a) gulp-concat b) gulp-uglify c) gulp-webpack,Gulp
Explain the difference between Gulp streams and file buffers.,Gulp
Which task runner concept ensures only changed files are processed?,Gulp
Compare Gulp with npm scripts for automation.,Gulp
Explain why gulp.dest() is critical in a pipeline.,Gulp
Which of these is used to handle errors without breaking the stream? a) gulp-plumber b) gulp-watch c) gulp-concat,Gulp
What is the main role of gulp.src()?,Gulp
Compare gulp-sass and gulp-less.,Gulp
Explain why hashed filenames are useful in production.,Gulp
Which plugin would you use for automatic browser reload?,Gulp
Why is gulp preferred for large-scale front-end builds?,Gulp
Identify the odd-one-out: a) gulp-rename b) gulp-rev c) gulp-eslint,Gulp
Explain the difference between gulp.series() and manual task calls.,Gulp
Why is sourcemap generation important in Gulp builds?,Gulp
Which of these tasks would be best parallelized? a) Image optimization b) JS transpilation c) CSS autoprefixing,Gulp
Compare streaming vs writing temporary files in task automation.,Gulp
Explain why autoprefixing CSS is necessary.,Gulp
Which plugin allows conditional execution of tasks?,Gulp
Why might you use gulp-cache for image processing?,Gulp
Compare Gulp task dependencies vs task parallelism.,Gulp
Explain why gulp-debug is useful in pipelines.,Gulp
Which of the following is NOT automated by default in Gulp? a) CSS compilation b) JS minification c) TypeScript transpilation,Gulp
Why is task modularization recommended in Gulp?,Gulp
Compare Gulp error handling with plain Node streams.,Gulp
Explain the role of gulp-rename in build pipelines.,Gulp
Which plugin would you use to combine multiple JS files?,Gulp
Why is caching less effective without proper plugin setup?,Gulp
Compare Gulp vs Webpack for front-end workflow.,Gulp
Explain why BrowserSync is useful for front-end development.,Gulp
Which plugin is essential for linting JavaScript?,Gulp
Compare gulp-clean-css and gulp-csso.,Gulp
Explain why file glob patterns are important in gulp.src().,Gulp
Identify odd-one-out: a) gulp-imagemin b) gulp-pug c) gulp-watch,Gulp
Why is versioning assets important in front-end builds?,Gulp
Compare handling static assets with Gulp vs copying manually.,Gulp
Explain why multiple small tasks are preferred over a monolithic Gulp task.,Gulp
Which plugin would you use to replace text in files?,Gulp
Why might a Gulp pipeline break unexpectedly?,Gulp
Compare gulp.series() with returning a promise in tasks.,Gulp
Explain the benefit of modularizing Gulp plugins into separate tasks.,Gulp
Identify odd-one-out: a) gulp-typescript b) gulp-sass c) gulp-browser-sync,Gulp
Why is it recommended to use streams instead of temporary files for compilation?,Gulp
Compare the use of gulp-rev and gulp-rename for cache management.,Gulp
Explain why task automation improves front-end CI/CD pipelines.,Gulp
Which plugin would you choose for live preview of HTML templates?,Gulp
Why is using gulp-plumber better than try-catch inside streams?,Gulp
What is Grunt in front-end development?,Grunt
Which file contains Grunt configuration?,Grunt
How do you install Grunt CLI globally?,Grunt
What command runs the default Grunt task?,Grunt
Which method is used to register tasks in Grunt?,Grunt
True or False: Grunt uses plugins to handle different types of tasks.,Grunt
What is the purpose of grunt.initConfig()?,Grunt
Name a plugin that minifies JavaScript in Grunt.,Grunt
How do you watch files for changes in Grunt?,Grunt
Which plugin compiles Sass/SCSS files?,Grunt
Odd-one-out: a) grunt-contrib-watch b) grunt-contrib-clean c) grunt-webpack,Grunt
Why is task automation important in Grunt?,Grunt
Explain the difference between default and custom Grunt tasks.,Grunt
Which plugin is used to lint JavaScript files?,Grunt
How can you concatenate multiple JS files?,Grunt
Fill in the blank: Grunt uses ____ to read and write files in tasks.,Grunt
True or False: Grunt tasks can run in sequence or parallel.,Grunt
What is the role of grunt.loadNpmTasks()?,Grunt
Which plugin compresses CSS files?,Grunt
Scenario: You want to automatically reload the browser after task completion. Which plugin helps?,Grunt
Compare Grunt with npm scripts.,Grunt
How do you clean a build folder in Grunt?,Grunt
Which plugin optimizes images in Grunt?,Grunt
Explain why configuration files are required in Grunt.,Grunt
True or False: Grunt supports TypeScript compilation out-of-the-box.,Grunt
How can you run multiple tasks with a single Grunt command?,Grunt
Fill in the blank: The task that automatically detects changes and reruns tasks is ____.,Grunt
Which plugin compiles Pug (Jade) templates?,Grunt
Scenario: You want to minify HTML files. Which plugin would you use?,Grunt
Explain the purpose of grunt plugins.,Grunt
Compare Grunt and Gulp in task automation.,Grunt
Which plugin renames files in Grunt?,Grunt
True or False: Grunt can automatically inject scripts or CSS into HTML.,Grunt
How do you handle errors in Grunt tasks?,Grunt
"Scenario: You want to lint, minify, and concatenate JS in order. How?",Grunt
Which plugin helps generate source maps?,Grunt
Compare running tasks via CLI vs programmatically in Grunt.,Grunt
True or False: Grunt automatically detects file changes without watch.,Grunt
Scenario: You want to compile LESS files. Which plugin is used?,Grunt
Explain why modular tasks are better than a single large task.,Grunt
Odd-one-out: a) grunt-contrib-concat b) grunt-contrib-uglify c) grunt-sass-loader,Grunt
Scenario: You want live preview of HTML changes.,Grunt
Compare Grunt vs Webpack for front-end automation.,Grunt
Why is grunt-contrib-copy useful?,Grunt
True or False: Grunt supports multi-task targets.,Grunt
Explain why tasks need to be loaded with grunt.loadNpmTasks().,Grunt
Scenario: You want to minify both CSS and JS in one command.,Grunt
Which plugin helps with concatenating CSS files?,Grunt
Why is grunt-contrib-jasmine used?,Grunt
Fill in the blank: Tasks in Grunt can be registered as default or ____.,Grunt
Compare Grunt’s task runner approach with Gulp’s streaming approach.,Grunt
Explain why grunt-contrib-watch is critical in front-end development.,Grunt
Which plugin would you choose to optimize images efficiently in Grunt?,Grunt
Why is task modularization recommended in Grunt projects?,Grunt
Identify the odd-one-out: a) grunt-contrib-sass b) grunt-contrib-connect c) grunt-webpack,Grunt
Compare the benefits of running tasks in sequence vs parallel in Grunt.,Grunt
Explain why grunt plugins must be loaded using grunt.loadNpmTasks().,Grunt
Which plugin helps with linting JavaScript files in Grunt?,Grunt
Why is caching important in build tasks?,Grunt
Which plugin adds revision hashes to files for cache busting?,Grunt
Explain why sourcemaps are useful in Grunt workflows.,Grunt
Identify the odd-one-out: a) grunt-contrib-watch b) grunt-contrib-copy c) grunt-browser-sync,Grunt
Compare using Grunt vs npm scripts for automation.,Grunt
Why is grunt-contrib-clean often used in build tasks?,Grunt
Explain the role of grunt.registerTask() in automation.,Grunt
Which plugin would you use to compile LESS files in Grunt?,Grunt
Compare automating CSS preprocessing vs manual compilation.,Grunt
Why is live reload important in front-end development?,Grunt
Which plugin allows conditional task execution?,Grunt
Explain why modular tasks are preferred over one large task.,Grunt
Identify the odd-one-out: a) grunt-contrib-cssmin b) grunt-contrib-concat c) grunt-typescript-loader,Grunt
Compare running Grunt tasks locally vs in CI/CD pipelines.,Grunt
Why might a Grunt watch task fail to trigger on new files?,Grunt
Which plugin handles JavaScript unit testing?,Grunt
Explain why chaining multiple tasks in a single command is useful.,Grunt
Compare minifying CSS vs JS in terms of performance impact.,Grunt
Why is grunt-contrib-connect used in development?,Grunt
Identify the odd-one-out: a) grunt-contrib-copy b) grunt-contrib-watch c) grunt-webpack-plugin,Grunt
Compare the difference between default and custom tasks.,Grunt
Explain the advantages of using Grunt plugins over manual scripting.,Grunt
Which plugin helps concatenate multiple CSS files?,Grunt
Why is automating build tasks important for large-scale projects?,Grunt
Compare grunt-contrib-sass and grunt-contrib-less.,Grunt
Explain the benefit of integrating Grunt with BrowserSync.,Grunt
Identify the odd-one-out: a) grunt-contrib-uglify b) grunt-contrib-jshint c) grunt-webpack,Grunt
Why is error handling important in Grunt tasks?,Grunt
Which plugin is used to rename files or add prefixes/suffixes?,Grunt
Explain why task order matters in Grunt pipelines.,Grunt
Compare minifying JS before vs after concatenation.,Grunt
Why is using grunt-contrib-htmlmin recommended for production?,Grunt
Explain the difference between watch and connect tasks.,Grunt
Which plugin helps automate CSS autoprefixing?,Grunt
Compare running multiple small tasks vs one large task in Grunt.,Grunt
Why is grunt-contrib-clean used before build?,Grunt
Explain the advantage of using grunt-filerev for cache busting.,Grunt
Which plugin is used to replace text in files during the build?,Grunt
Compare automating JS linting vs manually checking errors.,Grunt
Why is task dependency management important in Grunt?,Grunt
Explain why using Grunt improves CI/CD efficiency.,Grunt
Identify the odd-one-out: a) grunt-contrib-watch b) grunt-contrib-imagemin c) grunt-webpack-plugin,Grunt
Compare Grunt with Gulp in terms of task automation efficiency.,Grunt
Explain why task modularization improves Grunt workflow.,Grunt
Which plugin would you choose to optimize both images and CSS for production?,Grunt
Odd-one-out: a) grunt-contrib-concat b) grunt-contrib-uglify c) grunt-babel-loader,Grunt
Compare running Grunt tasks sequentially vs in parallel.,Grunt
Explain why sourcemaps are critical in production builds.,Grunt
Which plugin ensures only changed files are processed to save time?,Grunt
Compare default task execution vs custom task execution in Grunt.,Grunt
Explain why caching files during builds is advantageous.,Grunt
Which plugin is used to add revision hashes to files?,Grunt
Explain why Grunt’s configuration file (Gruntfile.js) is important.,Grunt
Compare using grunt-contrib-watch with live reload using BrowserSync.,Grunt
Why is error handling essential in Grunt tasks?,Grunt
Which plugin compiles Sass/SCSS files to CSS?,Grunt
Compare grunt-contrib-uglify and grunt-contrib-concat in terms of build optimization.,Grunt
Explain the purpose of grunt.loadNpmTasks().,Grunt
Identify the odd-one-out: a) grunt-contrib-copy b) grunt-contrib-watch c) grunt-webpack,Grunt
Compare automating CSS preprocessing with manual compilation.,Grunt
Explain why modular tasks are better than a single monolithic task.,Grunt
Which plugin would you use to lint JavaScript code?,Grunt
Compare grunt-contrib-clean with manual deletion of build folders.,Grunt
Explain why task sequencing matters in Grunt pipelines.,Grunt
Which plugin allows text replacement in files during builds?,Grunt
Explain why file glob patterns are important in grunt.src().,Grunt
Compare grunt-contrib-connect with other local server solutions.,Grunt
Which plugin is used to concatenate multiple CSS files?,Grunt
Explain the advantage of integrating Grunt with BrowserSync.,Grunt
Identify the odd-one-out: a) grunt-contrib-cssmin b) grunt-contrib-jshint c) grunt-babel-loader,Grunt
Explain why grunt-contrib-htmlmin is recommended for production.,Grunt
Which plugin would you use to compile LESS files?,Grunt
Compare grunt-contrib-watch vs grunt-newer for optimization.,Grunt
Explain why task dependency management is critical in Grunt.,Grunt
Which plugin allows adding prefixes to CSS for browser compatibility?,Grunt
Explain why caching image files can speed up builds.,Grunt
Compare grunt-contrib-uglify before vs after concatenation.,Grunt
Explain why live reload improves front-end development efficiency.,Grunt
Which plugin helps rename files with prefixes or suffixes?,Grunt
Explain why using grunt-filerev improves cache management.,Grunt
Which plugin is used for copying static assets in Grunt?,Grunt
Compare running tasks using CLI vs programmatically in Grunt.,Grunt
Explain why automating build tasks reduces human error.,Grunt
Compare grunt-contrib-jasmine vs manual unit testing.,Grunt
Explain why Grunt is useful for front-end CI/CD pipelines.,Grunt
Which plugin helps generate source maps for debugging?,Grunt
What is Spring Framework in Java?,Spring
Who developed the Spring Framework?,Spring
Which core feature of Spring removes tight coupling?,Spring
Fill in the blank: Spring follows the principle of ______ programming.,Spring
Is Spring an open-source framework? (Yes/No),Spring
What does IoC stand for in Spring?,Spring
Which Spring module is used for database access?,Spring
What is the default scope of a Spring Bean?,Spring
"State True or False: In Spring, a bean can have multiple scopes.",Spring
Which file traditionally contains Spring bean configurations?,Spring
Name one annotation used for Dependency Injection.,Spring
Which annotation marks a class as a Spring Bean?,Spring
Which annotation is used for configuration classes?,Spring
What is the use of @Bean annotation?,Spring
What is the difference between @Component and @Service?,Spring
Name the annotation used to enable Spring Boot applications.,Spring
Which dependency is used in Spring Boot to create REST APIs easily?,Spring
Write one benefit of using Spring Boot.,Spring
How can you change the default server port in Spring Boot?,Spring
State True or False: Spring Boot uses Tomcat as the default embedded server.,Spring
What is the use of application.properties file?,Spring
What does @RestController do?,Spring
Which annotation maps HTTP GET requests?,Spring
Fill in the blank: @PostMapping handles ______ requests.,Spring
Which dependency provides JPA support in Spring Boot?,Spring
What is the role of @Entity annotation?,Spring
Which interface in Spring Data JPA provides CRUD operations?,Spring
Can we use multiple datasources in Spring Boot? (Yes/No),Spring
How can we handle exceptions in Spring Boot REST API?,Spring
What does @Transactional annotation ensure?,Spring
What is AOP in Spring?,Spring
Give an example of cross-cutting concern handled by AOP.,Spring
Which annotation is used to define an Aspect class?,Spring
Fill in the blank: Pointcut in AOP defines the ______.,Spring
Which annotation is used to schedule tasks in Spring?,Spring
State True or False: Spring supports both XML and Annotation-based configuration.,Spring
Which annotation is used for testing in Spring Boot?,Spring
What is the default scope for @Repository beans?,Spring
Which Spring Boot starter is used for security?,Spring
Which annotation is used to secure REST endpoints with method-level security?,Spring
Fill in the blank: Spring Security uses ______ for authentication and authorization.,Spring
Can we integrate Spring with Hibernate? (Yes/No),Spring
Which dependency provides actuator endpoints in Spring Boot?,Spring
Name one actuator endpoint.,Spring
What is the use of @Value annotation?,Spring
State True or False: Spring supports only relational databases.,Spring
Which Spring Boot feature generates project structure quickly?,Spring
What is the purpose of CommandLineRunner interface?,Spring
Which annotation is used for unit testing Spring MVC controllers?,Spring
One line: Why is Spring widely used?,Spring
What is the difference between ApplicationContext and BeanFactory?,Spring
How does Spring Boot achieve auto-configuration?,Spring
"Explain the difference between @Component, @Repository, @Service, and @Controller.",Spring
Which design pattern does Spring Dependency Injection follow?,Spring
Can Spring beans be lazy initialized? How?,Spring
What is the difference between constructor injection and setter injection?,Spring
Which annotation is used to enable scheduling in Spring?,Spring
What is the DispatcherServlet in Spring MVC?,Spring
Can Spring Boot run without Spring MVC?,Spring
How do you configure a custom banner in Spring Boot?,Spring
What is the difference between @RestController and @Controller?,Spring
Explain the concept of Spring Profiles.,Spring
Which annotation is used to activate a Spring profile?,Spring
What is the difference between @RequestParam and @PathVariable?,Spring
What is a Spring Boot Starter?,Spring
Which starter is used for building REST APIs?,Spring
How does Spring Boot simplify dependency management?,Spring
What is the difference between @EnableAutoConfiguration and @SpringBootApplication?,Spring
How can you disable a specific auto-configuration in Spring Boot?,Spring
What is the purpose of @ResponseBody?,Spring
Can Spring Boot applications run without an embedded server?,Spring
Which annotation is used to make methods asynchronous in Spring?,Spring
What is Spring Data JPA?,Spring
What is the difference between CrudRepository and JpaRepository?,Spring
What does @GeneratedValue do in JPA entities?,Spring
What is the purpose of Pageable in Spring Data JPA?,Spring
How can you handle exceptions globally in Spring?,Spring
What is the difference between @ControllerAdvice and @RestControllerAdvice?,Spring
What is the use of @Cacheable annotation?,Spring
Which caching annotations does Spring support?,Spring
What is the difference between singleton and prototype bean scope?,Spring
What is Spring Boot DevTools used for?,Spring
How does Spring Boot support externalized configuration?,Spring
What is the difference between application.properties and application.yml?,Spring
How can you change the logging level in Spring Boot?,Spring
What is the difference between @Primary and @Qualifier?,Spring
What is Spring Cloud?,Spring
What is Spring Boot Actuator used for?,Spring
How do you enable CORS in Spring Boot?,Spring
What is Spring Batch?,Spring
What does spring-boot-starter-test include?,Spring
What is the difference between unit testing and integration testing in Spring?,Spring
What is the difference between Spring MVC and Spring WebFlux?,Spring
What is Project Reactor in Spring?,Spring
How does Spring Security handle authentication?,Spring
What is OAuth2 in Spring Security?,Spring
What is the difference between stateful and stateless authentication?,Spring
Which starter is used for reactive MongoDB?,Spring
What is the difference between RestTemplate and WebClient?,Spring
Why is Spring Boot widely used for microservices?,Spring
How does Spring internally manage the lifecycle of a bean?,Spring
What is the difference between BeanPostProcessor and BeanFactoryPostProcessor?,Spring
How does Spring resolve circular dependencies?,Spring
What is the difference between ProxyFactoryBean and FactoryBean?,Spring
How does Spring handle transaction propagation?,Spring
What is the difference between checked and unchecked exceptions in Spring transactions?,Spring
How can you customize rollback rules in Spring transactions?,Spring
What is the difference between programmatic and declarative transaction management in Spring?,Spring
How does Spring AOP implement cross-cutting concerns internally?,Spring
What is the difference between AspectJ and Spring AOP?,Spring
What is the use of JoinPoint in Spring AOP?,Spring
What is the difference between before advice and around advice in AOP?,Spring
How does Spring support distributed transactions?,Spring
What is the difference between @Transactional at class level and method level?,Spring
How does Spring Boot load externalized configurations from multiple sources?,Spring
What is the difference between @PropertySource and @ConfigurationProperties?,Spring
How do you secure sensitive configuration values in Spring Boot?,Spring
What is the purpose of Spring Cloud Config?,Spring
How does service discovery work in Spring Cloud?,Spring
What is the difference between Ribbon and Spring Cloud LoadBalancer?,Spring
What is Hystrix in Spring Cloud?,Spring
What replaced Hystrix in Spring Cloud?,Spring
What is the difference between synchronous REST and asynchronous messaging in Spring microservices?,Spring
How does Spring Boot handle reactive streams?,Spring
What is the difference between Flux and Mono in Spring WebFlux?,Spring
How does backpressure work in reactive programming with Spring?,Spring
How do you configure security for a reactive Spring application?,Spring
What is the difference between OAuth2 authorization code flow and client credentials flow?,Spring
How does JWT authentication work in Spring Security?,Spring
What are filters in Spring Security?,Spring
How does Spring Security prevent CSRF attacks?,Spring
What is method-level security in Spring?,Spring
How do you configure a custom UserDetailsService in Spring Security?,Spring
How does password encoding work in Spring Security?,Spring
How does Spring Boot support containerization?,Spring
What is the difference between WAR and JAR deployment in Spring Boot?,Spring
How do you enable graceful shutdown in Spring Boot?,Spring
How do you monitor microservices in Spring Cloud?,Spring
What is the role of Sleuth in Spring Cloud?,Spring
How does Spring integrate with Kafka?,Spring
How does Spring integrate with RabbitMQ?,Spring
What is the difference between @KafkaListener and @RabbitListener?,Spring
How do you implement API Gateway in Spring Cloud?,Spring
What is the difference between Spring Cloud Gateway and Zuul?,Spring
How does Spring Boot support GraphQL?,Spring
What is the difference between REST and GraphQL in Spring?,Spring
How does Spring Boot support gRPC?,Spring
How do you secure microservices communication in Spring?,Spring
How do you test Spring Boot applications with testcontainers?,Spring
How does Spring Boot optimize startup time?,Spring
What is Spring Boot?,Spring Boot
Why was Spring Boot introduced?,Spring Boot
What is the main advantage of Spring Boot?,Spring Boot
What is auto-configuration in Spring Boot?,Spring Boot
What is the role of @SpringBootApplication?,Spring Boot
What are starters in Spring Boot?,Spring Boot
What is the default embedded server in Spring Boot?,Spring Boot
Can Spring Boot use servers other than Tomcat?,Spring Boot
How can you change the default port in Spring Boot?,Spring Boot
What is Spring Boot CLI?,Spring Boot
What is Spring Boot Actuator?,Spring Boot
How do you enable Actuator in Spring Boot?,Spring Boot
What is the default context path in Spring Boot?,Spring Boot
How do you change the context path in Spring Boot?,Spring Boot
What is @RestController in Spring Boot?,Spring Boot
What is the difference between @Controller and @RestController?,Spring Boot
How do you run a Spring Boot application?,Spring Boot
What is the use of SpringApplication.run()?,Spring Boot
How do you exclude auto-configuration in Spring Boot?,Spring Boot
What is a Spring Boot starter parent?,Spring Boot
What is the default logging framework in Spring Boot?,Spring Boot
What is the difference between application.properties and bootstrap.properties?,Spring Boot
How do you handle exceptions globally in Spring Boot?,Spring Boot
What is Spring Boot DevTools?,Spring Boot
How do you enable hot reloading in Spring Boot?,Spring Boot
What is the default database used in Spring Boot if none is configured?,Spring Boot
How do you connect Spring Boot to MySQL?,Spring Boot
What is the default package scanning behavior in Spring Boot?,Spring Boot
How do you schedule tasks in Spring Boot?,Spring Boot
How do you configure caching in Spring Boot?,Spring Boot
What is the difference between JAR and WAR deployment in Spring Boot?,Spring Boot
What is the purpose of CommandLineRunner in Spring Boot?,Spring Boot
What is the difference between CommandLineRunner and ApplicationRunner?,Spring Boot
What are profiles in Spring Boot?,Spring Boot
How do you create multiple property files for profiles?,Spring Boot
What is Spring Boot Initializr?,Spring Boot
How does Spring Boot handle JSON serialization?,Spring Boot
How do you secure a Spring Boot application?,Spring Boot
What is the default login username in Spring Boot Security?,Spring Boot
How do you customize login in Spring Boot Security?,Spring Boot
How do you enable HTTPS in Spring Boot?,Spring Boot
What is the difference between synchronous and asynchronous execution in Spring Boot?,Spring Boot
What is actuator’s /health endpoint used for?,Spring Boot
What is actuator’s /info endpoint used for?,Spring Boot
How can you disable a specific actuator endpoint?,Spring Boot
How can you expose all actuator endpoints?,Spring Boot
What is the role of @EnableAutoConfiguration in Spring Boot?,Spring Boot
How is @SpringBootApplication different from @EnableAutoConfiguration?,Spring Boot
How do you exclude specific auto-configuration classes in Spring Boot?,Spring Boot
What are custom starters in Spring Boot?,Spring Boot
How do you create a custom starter in Spring Boot?,Spring Boot
What is the purpose of Spring Boot Actuator?,Spring Boot
How do you enable only specific Actuator endpoints?,Spring Boot
What is the use of @SpringBootTest annotation?,Spring Boot
How do you test only specific layers in Spring Boot?,Spring Boot
What is the difference between @MockBean and @Autowired in testing?,Spring Boot
What is the role of application.properties in Spring Boot?,Spring Boot
How do you override default configurations in Spring Boot?,Spring Boot
What is the difference between bootstrap.properties and application.properties?,Spring Boot
How do you implement exception handling in Spring Boot REST APIs?,Spring Boot
What is the difference between checked and unchecked exceptions in Spring Boot?,Spring Boot
What is the role of ErrorController in Spring Boot?,Spring Boot
How do you implement file upload in Spring Boot?,Spring Boot
What is the default maximum file upload size in Spring Boot?,Spring Boot
How do you implement file download in Spring Boot?,Spring Boot
What is the difference between @RequestParam and @PathVariable in Spring Boot?,Spring Boot
How do you return custom HTTP status codes in Spring Boot?,Spring Boot
What is the difference between ResponseEntity and @ResponseBody?,Spring Boot
How do you disable automatic restart in DevTools?,Spring Boot
